latitude,longitude
45.46704,9.16326
45.45522,9.18709
45.48389,9.1562
45.46131,9.18085
45.44586,9.16417
45.44204,9.17267
45.46675,9.13368
45.45203,9.20037
45.46957,9.14417
45.43698,9.21049
45.45156,9.14556
45.47473,9.1339
45.45765,9.15318
45.48009,9.16979
45.4787,9.2367
45.4708,9.23011
45.48543,9.20697
45.48205,9.18263
45.45529,9.17416
45.48005,9.17742
45.47095,9.22754
45.47194,9.23447
45.45226,9.22889
45.48451,9.21703
45.47012,9.16344
45.46752,9.17534
45.47981,9.19734
45.45355,9.16395
45.45581,9.21068
45.50698,9.16247
45.50619,9.26786
45.47717,9.18501
45.46803,9.16795
45.49005,9.16939
45.45275,9.18344
45.49199,9.15065
45.44512,9.21186
45.48002,9.19341
45.48513,9.20784
45.4524,9.14412
45.45652,9.15692
45.45293,9.21691
45.48438,9.2046
45.47752,9.18802
45.45577,9.18421
45.47632,9.21118
45.47169,9.21465
45.4652,9.16283
45.50284,9.1665
45.50059,9.19496
45.47641,9.18188
45.44575,9.17702
45.5192,9.21371
45.49132,9.1881
45.46416,9.2074
45.46533,9.19818
45.45593,9.16494
45.4955,9.16419
45.44474,9.21117
45.44995,9.19051
45.48525,9.20675
45.46717,9.20555
45.44889,9.18276
45.43568,9.2007
45.48487,9.1949
45.44588,9.12728
45.49884,9.19796
45.47114,9.21332
45.44837,9.21325
45.46077,9.23155
45.45229,9.18288
45.47998,9.16815
45.46993,9.22149
45.47034,9.24553
45.49761,9.22671
45.45421,9.17765
45.50109,9.21153
45.5086,9.19024
45.45607,9.16991
45.46746,9.20394
45.48097,9.19094
45.4974,9.22122
45.48963,9.21501
45.48594,9.22022
45.49045,9.21248
45.45827,9.15307
45.48079,9.17732
45.48773,9.20408
45.45534,9.21078
45.46634,9.21339
45.47917,9.2127
45.47993,9.18634
45.48848,9.20881
45.46519,9.15626
45.46163,9.15106
45.47985,9.16632
45.46149,9.12452
45.46711,9.20512
45.45536,9.21194
45.44681,9.18679
45.46991,9.14934
45.49395,9.16636
45.44621,9.1861
45.48826,9.19115
45.47979,9.17232
45.47534,9.16854
45.47809,9.16685
45.47868,9.18956
45.48002,9.19341
45.46,9.20919
45.494,9.16546
45.46792,9.14746
45.48578,9.21361
45.46963,9.1387
45.48943,9.15305
45.46241,9.23165
45.4695,9.21598
45.46401,9.17836
45.47864,9.18958
45.48686,9.20162
45.45064,9.21026
45.48287,9.16452
45.46417,9.16535
45.4492,9.16307
45.48306,9.18494
45.47658,9.2033
45.47691,9.20559
45.47682,9.19184
45.4639,9.15086
45.48503,9.19463
45.44512,9.21186
45.44559,9.17684
45.44456,9.16749
45.45401,9.17189
45.43651,9.18346
45.45261,9.17009
45.46981,9.15442
45.4521,9.18443
45.45027,9.21438
45.48033,9.16713
45.47104,9.20855
45.46448,9.16035
45.47891,9.21183
45.46627,9.16353
45.48756,9.16979
45.49608,9.16954
45.4829,9.21492
45.50021,9.22134
45.45541,9.19
45.46627,9.15695
45.46886,9.15523
45.48305,9.21467
45.46075,9.15821
45.47477,9.1293
45.45895,9.20641
45.47262,9.15251
45.48244,9.19383
45.48283,9.19093
45.46708,9.15342
45.44151,9.15208
45.48331,9.18098
45.45676,9.15751
45.49397,9.19557
45.46476,9.16444
45.47922,9.21802
45.4662,9.15
45.46945,9.16583
45.45971,9.16165
45.40707,9.16884
45.46533,9.13168
45.4765,9.20246
45.46429,9.21135
45.45963,9.16764
45.46943,9.14387
45.47258,9.22603
45.46566,9.2321
45.47466,9.16004
45.49285,9.15596
45.48701,9.15657
45.49469,9.20274
45.47571,9.22291
45.44332,9.21198
45.45066,9.1426
45.48119,9.2299
45.45449,9.14512
45.48146,9.22269
45.4563,9.17745
45.44585,9.18489
45.46448,9.1432
45.46497,9.20884
45.47065,9.21712
45.48037,9.16122
45.45878,9.16836
45.44739,9.21079
45.43996,9.1786
45.4732,9.21116
45.44971,9.16544
45.48906,9.15821
45.44179,9.18019
45.50366,9.22214
45.4638,9.21975
45.4759,9.1706
45.47429,9.22467
45.44868,9.14222
45.4462,9.18711
45.51345,9.20497
45.48882,9.16007
45.48489,9.23064
45.45609,9.11612
45.45283,9.20119
45.48118,9.14484
45.48002,9.21471
45.49501,9.21156
45.46509,9.22394
45.45931,9.15995
45.47228,9.21598
45.50236,9.19074
45.48612,9.23199
45.45824,9.1543
45.45452,9.24334
45.46522,9.13186
45.47764,9.17755
45.45203,9.19524
45.5067,9.16307
45.47309,9.14731
45.46591,9.11186
45.4693,9.21191
45.45863,9.15488
45.50601,9.17847
45.46139,9.17283
45.49142,9.24277
45.46052,9.21857
45.45912,9.15771
45.48182,9.16896
45.43902,9.19264
45.47978,9.16969
45.47981,9.19402
45.52076,9.21633
45.46505,9.22066
45.46627,9.16353
45.45895,9.1802
45.4682,9.22243
45.48944,9.20155
45.44834,9.19669
45.45684,9.21102
45.47,9.21611
45.43897,9.20066
45.46886,9.16202
45.47767,9.20103
45.46666,9.2164
45.47827,9.14671
45.44712,9.16194
45.4872,9.20248
45.45219,9.18393
45.48058,9.14353
45.48384,9.16667
45.48114,9.16794
45.46817,9.16352
45.43677,9.19266
45.48349,9.22655
45.45259,9.14894
45.48917,9.16606
45.45301,9.17329
45.47989,9.17483
45.48613,9.22919
45.44115,9.15128
45.45735,9.15655
45.50057,9.19267
45.47913,9.19558
45.47456,9.14953
45.46401,9.17836
45.45912,9.15209
45.47632,9.21118
45.47293,9.15918
45.45301,9.17382
45.4581,9.16187
45.4619,9.1379
45.48816,9.18741
45.47967,9.16233
45.49988,9.21429
45.45681,9.14407
45.46988,9.23243
45.45229,9.18288
45.46169,9.13287
45.44837,9.21325
45.45332,9.15493
45.46507,9.21838
45.45018,9.19364
45.46059,9.172
45.47743,9.16879
45.44746,9.16034
45.48719,9.19861
45.48236,9.172
45.477,9.21038
45.48904,9.18467
45.47758,9.17774
45.4881,9.16893
45.49856,9.20753
45.46671,9.22298
45.4613,9.16034
45.4802,9.19581
45.45093,9.19979
45.45745,9.15669
45.51691,9.21548
45.48097,9.18191
45.48995,9.19054
45.44833,9.22183
45.47531,9.18608
45.45534,9.17222
45.44912,9.21118
45.47857,9.18439
45.44287,9.20318
45.48791,9.18903
45.42988,9.19878
45.488,9.23287
45.49418,9.20713
45.45913,9.18193
45.46203,9.23251
45.48537,9.16462
45.45066,9.17158
45.45941,9.16235
45.47901,9.16313
45.48054,9.18106
45.43636,9.18571
45.46589,9.20995
45.52381,9.19442
45.47497,9.17083
45.48079,9.21931
45.44041,9.22499
45.46386,9.1612
45.45411,9.19415
45.48184,9.21377
45.47573,9.13719
45.4526,9.20209
45.45416,9.15458
45.46091,9.21447
45.4577,9.17614
45.49089,9.16535
45.47194,9.23447
45.47097,9.13201
45.49354,9.15734
45.45688,9.20821
45.46679,9.13973
45.46883,9.15532
45.45945,9.17651
45.43836,9.17502
45.44891,9.19433
45.48157,9.16732
45.47281,9.16352
45.48709,9.16526
45.46077,9.23155
45.48631,9.17339
45.45317,9.17192
45.47577,9.16717
45.49316,9.14585
45.46971,9.14952
45.47103,9.22984
45.47138,9.18188
45.47922,9.21802
45.50465,9.17317
45.46541,9.15834
45.45039,9.20787
45.45197,9.19734
45.46625,9.2346
45.48118,9.14484
45.48601,9.19654
45.46013,9.15332
45.46945,9.16583
45.48415,9.22397
45.44645,9.15519
45.47766,9.19879
45.45529,9.19944
45.48099,9.17477
45.48451,9.21703
45.44357,9.18092
45.47167,9.21464
45.45012,9.16784
45.47902,9.16304
45.4901,9.16735
45.4609,9.18357
45.49449,9.14523
45.45046,9.17755
45.48267,9.23656
45.43531,9.24291
45.45259,9.15306
45.4638,9.15038
45.46297,9.22013
45.48368,9.20428
45.4845,9.19871
45.47922,9.2226
45.45149,9.2094
45.48912,9.18214
45.45823,9.20776
45.46076,9.20939
45.47208,9.14758
45.47771,9.16898
45.49548,9.18
45.48169,9.21467
45.46075,9.22539
45.4848,9.17778
45.50136,9.17458
45.45913,9.18193
45.46025,9.15483
45.47985,9.16632
45.44561,9.16674
45.47573,9.21426
45.46792,9.14746
45.48112,9.16642
45.47723,9.17264
45.46028,9.17064
45.44798,9.209
45.47582,9.20278
45.48017,9.18955
45.46268,9.20884
45.47437,9.14359
45.46578,9.21126
45.47731,9.17885
45.47623,9.2063
45.44921,9.20465
45.4957,9.16334
45.45853,9.18518
45.46506,9.21468
45.49331,9.18427
45.45318,9.20919
45.45698,9.2142
45.44378,9.16051
45.47889,9.24614
45.48696,9.1635
45.4675,9.23126
45.48878,9.16313
45.48986,9.18323
45.46923,9.14998
45.47004,9.15483
45.48071,9.18443
45.50767,9.16623
45.44899,9.19435
45.45045,9.21494
45.44681,9.18679
45.47273,9.23427
45.48107,9.19061
45.48983,9.21275
45.46586,9.16227
45.49932,9.1653
45.49258,9.19431
45.482,9.20878
45.48317,9.21069
45.46519,9.15626
45.48033,9.21985
45.47818,9.11743
45.51049,9.2106
45.44714,9.14545
45.48145,9.20055
45.47577,9.16717
45.47992,9.16207
45.44912,9.21118
45.45913,9.18193
45.43776,9.22121
45.47034,9.24553
45.4676,9.14145
45.46119,9.21444
45.49347,9.13729
45.47299,9.14884
45.44935,9.14909
45.4642,9.21992
45.45307,9.21324
45.44429,9.14944
45.48076,9.17734
45.46283,9.22794
45.47548,9.14523
45.47608,9.21722
45.45995,9.18291
45.47462,9.14961
45.46324,9.14386
45.45198,9.20842
45.49559,9.21588
45.49095,9.16635
45.4603,9.16308
45.49002,9.1914
45.4611,9.15728
45.45046,9.22266
45.49608,9.16954
45.45529,9.20438
45.49383,9.1632
45.47989,9.16206
45.45103,9.19613
45.46452,9.15525
45.45957,9.18296
45.45886,9.17892
45.45635,9.21245
45.44365,9.15504
45.47743,9.16879
45.51229,9.19136
45.48543,9.21068
45.45607,9.15966
45.46079,9.15856
45.46222,9.21246
45.44397,9.18105
45.4802,9.19581
45.4826,9.16889
45.44493,9.21416
45.48969,9.15389
45.49874,9.14577
45.46451,9.16689
45.44906,9.21121
45.46629,9.2161
45.46937,9.22227
45.49027,9.22042
45.46844,9.14215
45.44859,9.19562
45.45466,9.18704
45.49856,9.20753
45.48071,9.18426
45.48214,9.22895
45.47992,9.21459
45.45931,9.15995
45.4829,9.21492
