latitude,longitude
45.46643,9.18239
45.47624,9.21818
45.43311,9.17879
45.45497,9.16253
45.45726,9.19106
45.46641,9.1987
45.45531,9.20172
45.45056,9.21656
45.44229,9.14849
45.46147,9.1521
45.4677,9.18066
45.46241,9.27726
45.47089,9.19327
45.48565,9.22995
45.45368,9.17038
45.44122,9.1581
45.44733,9.15316
45.46608,9.15104
45.46722,9.14324
45.46416,9.17393
45.47937,9.20483
45.45257,9.1868
45.45954,9.21422
45.43552,9.23709
45.45287,9.16438
45.47014,9.18364
45.48448,9.20485
45.48868,9.13784
45.46858,9.23249
45.45259,9.16553
45.4792,9.21066
45.44424,9.18766
45.45307,9.21734
45.46956,9.14607
45.46474,9.20883
45.44859,9.25372
45.4553,9.14676
45.50242,9.13975
45.44855,9.21083
45.48884,9.22039
45.49705,9.19225
45.47277,9.19623
45.50256,9.17915
45.47735,9.14586
45.4726,9.22675
45.4702,9.20368
45.47036,9.22596
45.48423,9.20065
45.45782,9.14969
45.46072,9.22657
45.45773,9.15158
45.46826,9.15148
45.44976,9.19036
45.45892,9.17906
45.48045,9.20248
45.48053,9.19824
45.4664,9.19869
45.48598,9.20644
45.47048,9.20862
45.46094,9.16991
45.47616,9.14426
45.47732,9.146
45.46241,9.27726
45.46265,9.22397
45.49145,9.18255
45.49864,9.19375
45.453,9.1603
45.46073,9.20578
45.45639,9.17956
45.47033,9.19772
45.46353,9.17279
45.46674,9.20233
45.44959,9.17204
45.47062,9.19234
45.47646,9.20534
45.44371,9.15143
45.47291,9.18077
45.47198,9.15907
45.47211,9.15899
45.48965,9.15893
45.48056,9.21027
45.44309,9.21438
45.46655,9.2236
45.45115,9.16886
45.49711,9.18118
45.46241,9.27726
45.44374,9.2264
45.45525,9.16029
45.45441,9.20269
45.4639,9.21209
45.46219,9.20455
45.47877,9.18962
45.48125,9.20976
45.45776,9.19917
45.4678,9.17444
45.48268,9.20325
45.46664,9.17242
45.4445,9.15457
45.45911,9.19249
45.47077,9.21293
45.45917,9.20668
45.45362,9.16827
45.47188,9.18314
45.45438,9.1985
45.46956,9.20697
45.46896,9.19023
45.52437,9.20789
45.47702,9.21709
45.45838,9.18764
45.45117,9.18934
45.47528,9.14724
45.46443,9.18703
45.50206,9.15849
45.45904,9.16356
45.48615,9.16015
45.46359,9.13824
45.45261,9.16549
45.4546,9.15848
45.48712,9.16044
45.47377,9.21803
45.4827,9.20622
45.47876,9.18988
45.478,9.16569
45.46492,9.20304
45.46585,9.16736
45.46713,9.17428
45.44068,9.17762
45.47757,9.11544
