coords,origin_id
9.277266034948362-45.43978921965046,66
9.277266034948362-45.43978921965046,66
9.277266034948362-45.43978921965046,66
9.277266034948362-45.43978921965046,66
9.28366754429093-45.43978921965046,67
9.28366754429093-45.43978921965046,67
9.28366754429093-45.43978921965046,67
9.28366754429093-45.43978921965046,67
9.28366754429093-45.43978921965046,67
9.28366754429093-45.43978921965046,67
9.28366754429093-45.43978921965046,67
9.28366754429093-45.43978921965046,67
9.28366754429093-45.43978921965046,67
9.28366754429093-45.43978921965046,67
9.28366754429093-45.43978921965046,67
9.28366754429093-45.43978921965046,67
9.28366754429093-45.43978921965046,67
9.28366754429093-45.43978921965046,67
9.28366754429093-45.43978921965046,67
9.28366754429093-45.43978921965046,67
9.2900690536335-45.43978921965046,68
9.2900690536335-45.43978921965046,68
9.2900690536335-45.43978921965046,68
9.2900690536335-45.43978921965046,68
9.2900690536335-45.43978921965046,68
9.2900690536335-45.43978921965046,68
9.296470562976069-45.43978921965046,69
9.296470562976069-45.43978921965046,69
9.296470562976069-45.43978921965046,69
9.296470562976069-45.43978921965046,69
9.296470562976069-45.43978921965046,69
9.296470562976069-45.43978921965046,69
9.296470562976069-45.43978921965046,69
9.296470562976069-45.43978921965046,69
9.296470562976069-45.43978921965046,69
9.30287207231864-45.43978921965046,70
9.30287207231864-45.43978921965046,70
9.30287207231864-45.43978921965046,70
9.30287207231864-45.43978921965046,70
9.30287207231864-45.43978921965046,70
9.30287207231864-45.43978921965046,70
9.30287207231864-45.43978921965046,70
9.30287207231864-45.43978921965046,70
9.30287207231864-45.43978921965046,70
9.30287207231864-45.43978921965046,70
9.30287207231864-45.43978921965046,70
9.309273581661207-45.43978921965046,71
9.309273581661207-45.43978921965046,71
9.309273581661207-45.43978921965046,71
9.309273581661207-45.43978921965046,71
9.309273581661207-45.43978921965046,71
9.309273581661207-45.43978921965046,71
9.309273581661207-45.43978921965046,71
9.309273581661207-45.43978921965046,71
9.309273581661207-45.43978921965046,71
9.315675091003778-45.43978921965046,72
9.315675091003778-45.43978921965046,72
9.315675091003778-45.43978921965046,72
9.315675091003778-45.43978921965046,72
9.322076600346346-45.43978921965046,73
9.322076600346346-45.43978921965046,73
9.322076600346346-45.43978921965046,73
9.322076600346346-45.43978921965046,73
9.322076600346346-45.43978921965046,73
9.322076600346346-45.43978921965046,73
9.322076600346346-45.43978921965046,73
9.334879619031485-45.43978921965046,74
9.334879619031485-45.43978921965046,74
9.334879619031485-45.43978921965046,74
9.334879619031485-45.43978921965046,74
9.334879619031485-45.43978921965046,74
9.334879619031485-45.43978921965046,74
9.334879619031485-45.43978921965046,74
9.334879619031485-45.43978921965046,74
9.341281128374051-45.43978921965046,75
9.341281128374051-45.43978921965046,75
9.341281128374051-45.43978921965046,75
9.341281128374051-45.43978921965046,75
9.347682637716623-45.43978921965046,76
9.347682637716623-45.43978921965046,76
9.347682637716623-45.43978921965046,76
9.354084147059192-45.43978921965046,77
9.354084147059192-45.43978921965046,77
9.354084147059192-45.43978921965046,77
9.354084147059192-45.43978921965046,77
9.360485656401762-45.43978921965046,78
9.360485656401762-45.43978921965046,78
9.360485656401762-45.43978921965046,78
9.360485656401762-45.43978921965046,78
9.360485656401762-45.43978921965046,78
9.36688716574433-45.43978921965046,79
9.36688716574433-45.43978921965046,79
9.36688716574433-45.43978921965046,79
9.36688716574433-45.43978921965046,79
9.36688716574433-45.43978921965046,79
9.36688716574433-45.43978921965046,79
9.36688716574433-45.43978921965046,79
9.36688716574433-45.43978921965046,79
9.3732886750869-45.43978921965046,80
9.3732886750869-45.43978921965046,80
9.3732886750869-45.43978921965046,80
9.3732886750869-45.43978921965046,80
9.3732886750869-45.43978921965046,80
9.3732886750869-45.43978921965046,80
9.37969018442947-45.43978921965046,81
9.37969018442947-45.43978921965046,81
9.392493203114608-45.43978921965046,82
9.392493203114608-45.43978921965046,82
9.405296221799746-45.43978921965046,83
9.411697731142317-45.43978921965046,84
9.411697731142317-45.43978921965046,84
9.174849275639572-45.44428089255051,85
9.174849275639572-45.44428089255051,85
9.181251294649195-45.44428089255051,86
9.181251294649195-45.44428089255051,86
9.181251294649195-45.44428089255051,86
9.187653313658824-45.44428089255051,87
9.187653313658824-45.44428089255051,87
9.200457351678072-45.44428089255051,88
9.200457351678072-45.44428089255051,88
9.2068593706877-45.44428089255051,89
9.2068593706877-45.44428089255051,89
9.213261389697324-45.44428089255051,90
9.213261389697324-45.44428089255051,90
9.213261389697324-45.44428089255051,90
9.213261389697324-45.44428089255051,90
9.213261389697324-45.44428089255051,90
9.213261389697324-45.44428089255051,90
9.213261389697324-45.44428089255051,90
9.213261389697324-45.44428089255051,90
9.21966340870695-45.44428089255051,91
9.21966340870695-45.44428089255051,91
9.21966340870695-45.44428089255051,91
9.21966340870695-45.44428089255051,91
9.21966340870695-45.44428089255051,91
9.21966340870695-45.44428089255051,91
9.21966340870695-45.44428089255051,91
9.21966340870695-45.44428089255051,91
9.226065427716575-45.44428089255051,92
9.226065427716575-45.44428089255051,92
9.226065427716575-45.44428089255051,92
9.226065427716575-45.44428089255051,92
9.226065427716575-45.44428089255051,92
9.226065427716575-45.44428089255051,92
9.226065427716575-45.44428089255051,92
9.2324674467262-45.44428089255051,93
9.2324674467262-45.44428089255051,93
9.2324674467262-45.44428089255051,93
9.2324674467262-45.44428089255051,93
9.2324674467262-45.44428089255051,93
9.2324674467262-45.44428089255051,93
9.2324674467262-45.44428089255051,93
9.2324674467262-45.44428089255051,93
9.2324674467262-45.44428089255051,93
9.2324674467262-45.44428089255051,93
9.2324674467262-45.44428089255051,93
9.2324674467262-45.44428089255051,93
9.2324674467262-45.44428089255051,93
9.2324674467262-45.44428089255051,93
9.2324674467262-45.44428089255051,93
9.2324674467262-45.44428089255051,93
9.2324674467262-45.44428089255051,93
9.238869465735826-45.44428089255051,94
9.238869465735826-45.44428089255051,94
9.238869465735826-45.44428089255051,94
9.238869465735826-45.44428089255051,94
9.238869465735826-45.44428089255051,94
9.238869465735826-45.44428089255051,94
9.238869465735826-45.44428089255051,94
9.238869465735826-45.44428089255051,94
9.245271484745452-45.44428089255051,95
9.245271484745452-45.44428089255051,95
9.245271484745452-45.44428089255051,95
9.245271484745452-45.44428089255051,95
9.245271484745452-45.44428089255051,95
9.245271484745452-45.44428089255051,95
9.245271484745452-45.44428089255051,95
9.245271484745452-45.44428089255051,95
9.25167350375508-45.44428089255051,96
9.25167350375508-45.44428089255051,96
9.25167350375508-45.44428089255051,96
9.25167350375508-45.44428089255051,96
9.25167350375508-45.44428089255051,96
9.25167350375508-45.44428089255051,96
9.25167350375508-45.44428089255051,96
9.25167350375508-45.44428089255051,96
9.25167350375508-45.44428089255051,96
9.25167350375508-45.44428089255051,96
9.25167350375508-45.44428089255051,96
9.25167350375508-45.44428089255051,96
9.25167350375508-45.44428089255051,96
9.25167350375508-45.44428089255051,96
9.258075522764704-45.44428089255051,97
9.258075522764704-45.44428089255051,97
9.258075522764704-45.44428089255051,97
9.258075522764704-45.44428089255051,97
9.258075522764704-45.44428089255051,97
9.258075522764704-45.44428089255051,97
9.258075522764704-45.44428089255051,97
9.258075522764704-45.44428089255051,97
9.26447754177433-45.44428089255051,98
9.26447754177433-45.44428089255051,98
9.26447754177433-45.44428089255051,98
9.26447754177433-45.44428089255051,98
9.26447754177433-45.44428089255051,98
9.26447754177433-45.44428089255051,98
9.26447754177433-45.44428089255051,98
9.26447754177433-45.44428089255051,98
9.270879560783955-45.44428089255051,99
9.270879560783955-45.44428089255051,99
9.270879560783955-45.44428089255051,99
9.270879560783955-45.44428089255051,99
9.270879560783955-45.44428089255051,99
9.270879560783955-45.44428089255051,99
9.270879560783955-45.44428089255051,99
9.270879560783955-45.44428089255051,99
9.270879560783955-45.44428089255051,99
9.270879560783955-45.44428089255051,99
9.270879560783955-45.44428089255051,99
9.27728157979358-45.44428089255051,100
9.27728157979358-45.44428089255051,100
9.27728157979358-45.44428089255051,100
9.27728157979358-45.44428089255051,100
9.27728157979358-45.44428089255051,100
9.27728157979358-45.44428089255051,100
9.27728157979358-45.44428089255051,100
9.27728157979358-45.44428089255051,100
9.27728157979358-45.44428089255051,100
9.27728157979358-45.44428089255051,100
9.27728157979358-45.44428089255051,100
9.27728157979358-45.44428089255051,100
9.27728157979358-45.44428089255051,100
9.283683598803206-45.44428089255051,101
9.283683598803206-45.44428089255051,101
9.283683598803206-45.44428089255051,101
9.283683598803206-45.44428089255051,101
9.283683598803206-45.44428089255051,101
9.283683598803206-45.44428089255051,101
9.283683598803206-45.44428089255051,101
9.283683598803206-45.44428089255051,101
9.283683598803206-45.44428089255051,101
9.283683598803206-45.44428089255051,101
9.283683598803206-45.44428089255051,101
9.283683598803206-45.44428089255051,101
9.283683598803206-45.44428089255051,101
9.283683598803206-45.44428089255051,101
9.283683598803206-45.44428089255051,101
9.283683598803206-45.44428089255051,101
9.283683598803206-45.44428089255051,101
9.290085617812831-45.44428089255051,102
9.290085617812831-45.44428089255051,102
9.290085617812831-45.44428089255051,102
9.290085617812831-45.44428089255051,102
9.290085617812831-45.44428089255051,102
9.290085617812831-45.44428089255051,102
9.290085617812831-45.44428089255051,102
9.290085617812831-45.44428089255051,102
9.290085617812831-45.44428089255051,102
9.296487636822455-45.44428089255051,103
9.296487636822455-45.44428089255051,103
9.296487636822455-45.44428089255051,103
9.296487636822455-45.44428089255051,103
9.296487636822455-45.44428089255051,103
9.302889655832082-45.44428089255051,104
9.309291674841708-45.44428089255051,105
9.309291674841708-45.44428089255051,105
9.309291674841708-45.44428089255051,105
9.309291674841708-45.44428089255051,105
9.309291674841708-45.44428089255051,105
9.309291674841708-45.44428089255051,105
9.309291674841708-45.44428089255051,105
9.309291674841708-45.44428089255051,105
9.309291674841708-45.44428089255051,105
9.315693693851332-45.44428089255051,106
9.315693693851332-45.44428089255051,106
9.315693693851332-45.44428089255051,106
9.315693693851332-45.44428089255051,106
9.315693693851332-45.44428089255051,106
9.315693693851332-45.44428089255051,106
9.315693693851332-45.44428089255051,106
9.32209571286096-45.44428089255051,107
9.32209571286096-45.44428089255051,107
9.32209571286096-45.44428089255051,107
9.328497731870584-45.44428089255051,108
9.328497731870584-45.44428089255051,108
9.341301769889837-45.44428089255051,109
9.341301769889837-45.44428089255051,109
9.341301769889837-45.44428089255051,109
9.341301769889837-45.44428089255051,109
9.341301769889837-45.44428089255051,109
9.341301769889837-45.44428089255051,109
9.341301769889837-45.44428089255051,109
9.341301769889837-45.44428089255051,109
9.341301769889837-45.44428089255051,109
9.341301769889837-45.44428089255051,109
9.341301769889837-45.44428089255051,109
9.34770378889946-45.44428089255051,110
9.34770378889946-45.44428089255051,110
9.34770378889946-45.44428089255051,110
9.34770378889946-45.44428089255051,110
9.34770378889946-45.44428089255051,110
9.34770378889946-45.44428089255051,110
9.34770378889946-45.44428089255051,110
9.34770378889946-45.44428089255051,110
9.34770378889946-45.44428089255051,110
9.34770378889946-45.44428089255051,110
9.354105807909088-45.44428089255051,111
9.360507826918711-45.44428089255051,112
9.360507826918711-45.44428089255051,112
9.360507826918711-45.44428089255051,112
9.360507826918711-45.44428089255051,112
9.360507826918711-45.44428089255051,112
9.36690984592834-45.44428089255051,113
9.36690984592834-45.44428089255051,113
9.36690984592834-45.44428089255051,113
9.36690984592834-45.44428089255051,113
9.373311864937964-45.44428089255051,114
9.373311864937964-45.44428089255051,114
9.373311864937964-45.44428089255051,114
9.37971388394759-45.44428089255051,115
9.37971388394759-45.44428089255051,115
9.37971388394759-45.44428089255051,115
9.405321959986091-45.44428089255051,116
9.155649081167748-45.44877256545056,117
9.16845413876214-45.44877256545056,118
9.174856667559334-45.44877256545056,119
9.174856667559334-45.44877256545056,119
9.18125919635653-45.44877256545056,120
9.187661725153726-45.44877256545056,121
9.194064253950922-45.44877256545056,122
9.194064253950922-45.44877256545056,122
9.194064253950922-45.44877256545056,122
9.194064253950922-45.44877256545056,122
9.194064253950922-45.44877256545056,122
9.200466782748116-45.44877256545056,123
9.200466782748116-45.44877256545056,123
9.200466782748116-45.44877256545056,123
9.200466782748116-45.44877256545056,123
9.206869311545312-45.44877256545056,124
9.206869311545312-45.44877256545056,124
9.206869311545312-45.44877256545056,124
9.206869311545312-45.44877256545056,124
